2025-07-24 00:02:01.003 [http-nio-8080-exec-3] INFO  [2994c64b] com.lulu.logging.AuditLoggingFilter - REQUEST [2994c64b] GET /api/category
2025-07-24 00:02:01.004 [http-nio-8080-exec-4] INFO  [d58202ab] com.lulu.logging.AuditLoggingFilter - REQUEST [d58202ab] GET /api/products
2025-07-24 00:02:01.071 [http-nio-8080-exec-3] INFO  [2994c64b] com.lulu.logging.AuditLoggingFilter - RESPONSE [2994c64b] GET /api/category responded 200 in 68 ms
2025-07-24 00:02:01.089 [http-nio-8080-exec-4] INFO  [d58202ab] com.lulu.logging.AuditLoggingFilter - RESPONSE [d58202ab] GET /api/products responded 200 in 85 ms
2025-07-24 00:02:01.100 [http-nio-8080-exec-9] INFO  [d932ec2b] com.lulu.logging.AuditLoggingFilter - REQUEST [d932ec2b] GET /api/products
2025-07-24 00:02:01.100 [http-nio-8080-exec-7] INFO  [d4e29b7d] com.lulu.logging.AuditLoggingFilter - REQUEST [d4e29b7d] GET /api/category
2025-07-24 00:02:01.107 [http-nio-8080-exec-7] INFO  [d4e29b7d] com.lulu.logging.AuditLoggingFilter - RESPONSE [d4e29b7d] GET /api/category responded 200 in 7 ms
2025-07-24 00:02:01.133 [http-nio-8080-exec-9] INFO  [d932ec2b] com.lulu.logging.AuditLoggingFilter - RESPONSE [d932ec2b] GET /api/products responded 200 in 33 ms
2025-07-24 00:02:03.210 [http-nio-8080-exec-1] INFO  [5a815738] com.lulu.logging.AuditLoggingFilter - REQUEST [5a815738] GET /api/products/7
2025-07-24 00:02:03.210 [http-nio-8080-exec-1] INFO  [5a815738] AUDIT - AUDIT_REQUEST [5a815738] GET /api/products/7 | IP: 0:0:0:0:0:0:0:1 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 | Referer: http://localhost:5173/
2025-07-24 00:02:03.212 [http-nio-8080-exec-2] INFO  [49191f71] com.lulu.logging.AuditLoggingFilter - REQUEST [49191f71] GET /api/products
2025-07-24 00:02:03.221 [http-nio-8080-exec-1] INFO  [5a815738] com.lulu.logging.AuditLoggingFilter - RESPONSE [5a815738] GET /api/products/7 responded 200 in 11 ms
2025-07-24 00:02:03.221 [http-nio-8080-exec-1] INFO  [5a815738] AUDIT - AUDIT_RESPONSE [5a815738] GET /api/products/7 | Status: 200 | Duration: 11 ms
2025-07-24 00:02:03.244 [http-nio-8080-exec-2] INFO  [49191f71] com.lulu.logging.AuditLoggingFilter - RESPONSE [49191f71] GET /api/products responded 200 in 32 ms
2025-07-24 00:02:03.262 [http-nio-8080-exec-8] INFO  [0380c338] com.lulu.logging.AuditLoggingFilter - REQUEST [0380c338] GET /api/products/7
2025-07-24 00:02:03.262 [http-nio-8080-exec-8] INFO  [0380c338] AUDIT - AUDIT_REQUEST [0380c338] GET /api/products/7 | IP: 0:0:0:0:0:0:0:1 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 | Referer: http://localhost:5173/
2025-07-24 00:02:03.265 [http-nio-8080-exec-8] INFO  [0380c338] com.lulu.logging.AuditLoggingFilter - RESPONSE [0380c338] GET /api/products/7 responded 200 in 3 ms
2025-07-24 00:02:03.265 [http-nio-8080-exec-8] INFO  [0380c338] AUDIT - AUDIT_RESPONSE [0380c338] GET /api/products/7 | Status: 200 | Duration: 3 ms
2025-07-24 00:02:03.276 [http-nio-8080-exec-10] INFO  [b16de3a5] com.lulu.logging.AuditLoggingFilter - REQUEST [b16de3a5] GET /api/reviews/product/7
2025-07-24 00:02:03.278 [http-nio-8080-exec-10] WARN  [b16de3a5] com.lulu.logging.AuditLoggingFilter - ERROR_RESPONSE [b16de3a5] GET /api/reviews/product/7 responded 404 in 2 ms
2025-07-24 00:02:03.281 [http-nio-8080-exec-3] INFO  [2412f844] com.lulu.logging.AuditLoggingFilter - REQUEST [2412f844] GET /api/products
2025-07-24 00:02:03.296 [http-nio-8080-exec-3] INFO  [2412f844] com.lulu.logging.AuditLoggingFilter - RESPONSE [2412f844] GET /api/products responded 200 in 15 ms
